Date,User,Message
2021-06-05 11:54:05,"R=VD","Date와 writer필터가 두개가 입력되었을 때 date필터 해당 내용 모두와 writer필터 해당 내용 모두를 필터링 하는 겁니까? 아니면 date와 writer 두개 다 해당하는 것만 필터링 하는 겁니까?"
2021-06-05 11:56:19,"JC","숙제 설명에 and로 할지 or로 할지 설명이 나와 있을겁니다. 설명을 잘 확인해 보세요."
2021-06-05 22:52:08,"JC","출력 예시에서 같은 시간 다른 writer가 쓴 메지시에 같은 일련번호가 붙어 있었는데, 다른 번호가 붙어야 합니다. 예시에 오차가 있었습니다. 수정해 두었습니다."
2021-06-06 09:39:45,"JC","군모닝 HW4에서 new line처리로 고생한 학생들은 FAQ5 항목을 확인해보세요. 멀티라인 메시지일 때 첫 라인은 trim이 되어야 하고 나머지 라인들은 trim을 적용 안한 로직입니다."
2021-06-06 09:44:29,"JC","하지만, HW5에서는 mac이나 windows나 동일한 결과를 나오는 식으로 테스트를 할 예정이라 테스트용 아웃풋이 약간 변경이 될 수 있습니다.
기존 parse방식과 약간 변경 될 수 있으나
차이를 잘 알고 있으면 ""mac"" parse 결과와 동일하게 잘 할 수 있을겁니다. 테스트용 인풋/아웃풋 파일은 공유를 하도록 하겠습니다.
인코딩 문제나 공백 문제 등은 실무에서도 늘 골치거리인 문제에요. 한 번쯤 씨름하면서 고민하면서 경험하는 게 필요해요. 이제 15주차 시작인데 뒷심을 잘 발휘해서 달려가 보아요!!"
2021-06-06 09:45:24,"황우삼","교순ㅁ JChecker코드는 언제나오는 건가요?"
2021-06-06 09:45:58,"황우삼","교수님"
2021-06-06 09:46:03,"JC","오늘 중 아니면 내일 수업 전이요."
2021-06-06 09:46:16,"황우삼","네 감사합니다!"
2021-06-06 09:58:16,"이름 (필스)","감사합니다 교수님!!"
